µçÑ¹,µçÁ÷
311.124,2.912
316.367,2.963
320.892,2.768
324.379,2.4
326.707,1.93
328.336,1.57
329.78,1.378
331.035,1.243
331.95,1.081
332.373,0.868
332.15,0.604
330.384,0.262
323.694,0.017
309.909,-0.028
293.299,-0.029
280.192,-0.029
271.139,-0.029
261.992,-0.029
252.461,-0.03
242.727,-0.03
231.861,-0.03
219.743,-0.03
206.864,-0.03
193.892,-0.03
181.049,-0.03
167.198,-0.031
153.286,-0.031
139.244,-0.031
124.126,-0.031
108.856,-0.031
93.186,-0.031
76.108,-0.031
58.22,-0.032
41.797,-0.032
26.654,-0.032
10.755,-0.032
-5.794,-0.032
-23.425,-0.033
-40.618,-0.033
-57.569,-0.033
-74.304,-0.033
-89.471,-0.033
-103.864,-0.033
-118.058,-0.034
-132.535,-0.034
-146.359,-0.034
-159.98,-0.034
-174.424,-0.034
-187.443,-0.034
-200.354,-0.034
-213.462,-0.034
-224.457,-0.035
-232.472,-0.035
-239.542,-0.035
-248.786,-0.035
-258.598,-0.035
-266.491,-0.057
-273.698,-0.472
-280.264,-1.695
-286.206,-2.636
-291.3,-2.819
-295.943,-2.793
-300.813,-2.854
-306.16,-3.008
-311.688,-3.104
-316.799,-3.001
-321.112,-2.733
-324.468,-2.357
-326.78,-1.914
-328.422,-1.575
-329.882,-1.393
-331.179,-1.264
-332.147,-1.106
-332.61,-0.896
-332.442,-0.635
-330.769,-0.291
-324.274,-0.03
-310.496,0.022
-293.706,0.023
-280.587,0.023
-271.642,0.023
-262.667,0.023
-253.286,0.023
-243.651,0.023
-232.821,0.023
-220.53,0.024
-207.328,0.024
-194.055,0.024
-181.069,0.024
-167.393,0.024
-153.472,0.024
-139.382,0.024
-124.354,0.024
-109.047,0.025
-93.16,0.025
-75.963,0.025
-58.38,0.025
-42.754,0.025
-28.273,0.026
-12.5,0.026
4.071,0.026
21.809,0.026
39.145,0.026
56.179,0.026
73.151,0.026
88.916,0.027
104.25,0.027
119.063,0.027
133.306,0.027
146.249,0.027
159.165,0.027
173.553,0.027
186.728,0.027
199.764,0.028
212.846,0.028
223.702,0.028
231.704,0.028
238.763,0.028
247.991,0.028
258.107,0.028
266.151,0.047
273.407,0.439
280.152,1.675
286.387,2.698
291.863,2.948
296.758,2.898
301.158,2.738
305.635,2.722
310.833,2.912
316.113,2.979
320.686,2.788
324.211,2.422
326.607,1.957
328.252,1.584
329.686,1.385
330.965,1.249
331.909,1.091
332.366,0.883
332.194,0.623
330.544,0.281
324.154,0.024
310.712,-0.028
294.244,-0.029
281.005,-0.029
271.938,-0.029
262.846,-0.029
253.292,-0.029
243.491,-0.029
232.625,-0.03
220.619,-0.03
207.762,-0.03
194.675,-0.03
181.787,-0.03
168.054,-0.03
154.175,-0.03
140.279,-0.031
125.286,-0.031
110.003,-0.031
94.335,-0.031
77.282,-0.031
59.419,-0.032
43.06,-0.032
28.061,-0.032
12.173,-0.032
-4.421,-0.032
-22.057,-0.032
-39.376,-0.033
-56.435,-0.033
-73.318,-0.033
-88.652,-0.033
-102.918,-0.033
